Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
NOLOVENOLIFE,HIEUTHUHAI,Ai Cũng Phải Bắt Đầu Từ Đâu Đó,4faMbTZifuYsBllYHZsFKJ,6D94p9ASguBcYlDC0o56vx,61,2023-10-16,170898,False,https://open.spotify.com/track/6D94p9ASguBcYlDC0o56vx,0.812,0.703,4,-4.499,1,0.148,0.358,0.0,0.105,0.554,138.019
nhắn nhủ,Ronboogz,nhắn nhủ,5KNYrzFkKcSl7wzRYRuFjE,2uZmeuNAxSm7XfVIwLkhCx,64,2023-12-12,241190,False,https://open.spotify.com/track/2uZmeuNAxSm7XfVIwLkhCx,0.762,0.295,7,-9.745,1,0.035,0.954,0.00157,0.164,0.284,129.962
Lan Man,Ronboogz,Lan Man,2PjMmcp2KpR1dwcs0oExSx,3hqOrxH5qPlvrApcb7Ac8c,61,2023-03-25,216220,False,https://open.spotify.com/track/3hqOrxH5qPlvrApcb7Ac8c,0.786,0.358,5,-10.913,1,0.0379,0.875,0.000361,0.0718,0.204,120.0
Đã Lỡ Yêu Em Nhiều,JustaTee,Đã Lỡ Yêu Em Nhiều,2iJcC4EmfOE36Z2gS5OiSp,3J3nv18iIrOhca1ZWNeuyW,56,2022-07-11,261105,False,https://open.spotify.com/track/3J3nv18iIrOhca1ZWNeuyW,0.546,0.431,5,-9.566,1,0.0383,0.76,0.0,0.108,0.484,79.958
Dù Cho Mai Về Sau,buitruonglinh,Dù Cho Mai Về Sau,38rXnQ4McNlZGTA3WNPNc1,4Iz5EWPCAT8jYNk4IpLoll,57,2020-11-17,233976,False,https://open.spotify.com/track/4Iz5EWPCAT8jYNk4IpLoll,0.632,0.579,11,-8.352,1,0.0602,0.187,1.93e-06,0.101,0.503,155.984
Nước Mắt Em Lau Bằng Tình Yêu Mới,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,3bUGXDqhdLNsxQrETRlTF1,40fjFtLBN98eDzOS4NfXs5,58,2019-09-12,285742,False,https://open.spotify.com/track/40fjFtLBN98eDzOS4NfXs5,0.649,0.624,7,-5.53,1,0.0539,0.704,0.0,0.0774,0.221,94.863
trời giấu trời mang đi,AMEE,dreAMEE,4tHnhcKAaAaD83UfrTvUPt,1ecVks3GJX8U67DvhVDVBn,59,2020-06-28,253500,False,https://open.spotify.com/track/1ecVks3GJX8U67DvhVDVBn,0.438,0.408,3,-9.857,1,0.0705,0.688,0.0,0.121,0.373,92.053
Chuyện Rằng,Thịnh Suy,Chuyện Rằng,5luCD1OBB8iHHhaSaOLHGz,7oBUoEbCDF748UkHnLusUB,57,2020-08-08,272152,False,https://open.spotify.com/track/7oBUoEbCDF748UkHnLusUB,0.811,0.276,7,-14.892,1,0.042,0.785,2.83e-06,0.128,0.704,95.021
Trước Khi Em Tồn Tại,Thắng,Cái Đầu Tiên,5jDZKqgoVRbob6A3omYTG5,1yo967mk7CpjvruNxBecOY,59,2023-04-30,194183,False,https://open.spotify.com/track/1yo967mk7CpjvruNxBecOY,0.673,0.671,10,-9.011,1,0.0405,0.357,0.000626,0.309,0.796,124.985
Thôi Em Đừng Đi,"RPT MCK, Trung Trần",99%,1vi1WySkgPGkbR8NnQzlXu,7kpNUrBDYDoX6QKGzrBD1R,60,2023-03-02,173397,False,https://open.spotify.com/track/7kpNUrBDYDoX6QKGzrBD1R,0.809,0.626,9,-7.531,0,0.0467,0.111,0.0,0.112,0.718,141.981
24h,Lyly,24h,4LO3n3uH8Iu6xi09nh2u9i,4inMQ83GNpQ2OHDredH5hW,53,2020-10-28,257000,False,https://open.spotify.com/track/4inMQ83GNpQ2OHDredH5hW,0.763,0.619,8,-8.427,1,0.072,0.526,4.81e-05,0.102,0.117,119.985
